Name,Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,PerGls,PerAst,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
suarez,2010-2011,23,Liverpool,1 League,13,12,1100,4,3,0,0,2,0,0.33,0.25,0.57,0.33,0.57,,,,,,,,,
suarez,2011-2012,24,Liverpool,1 League,31,29,2544,11,3,0,1,5,0,0.39,0.11,0.5,0.39,0.5,,,,,,,,,
suarez,2012-2013,25,Liverpool,2 Leagues,39,37,3367,26,5,0,0,11,0,0.69,0.13,0.83,0.69,0.83,,,,,,,,,
suarez,2013-2014,26,Liverpool,1 League,33,33,2962,31,12,0,0,6,0,0.94,0.36,1.31,0.94,1.31,,,,,,,,,
suarez,2014-2015,27,Barcelona,3 Leagues,43,41,3513,25,18,0,0,7,0,0.64,0.46,1.1,0.64,1.1,,,,,,,,,Matches
suarez,2015-2016,28,Barcelona,5 Leagues,51,51,4586,54,22,3,5,10,0,1.06,0.43,1.49,1,1.43,,,,,,,,,Matches
suarez,2016-2017,29,Barcelona,4 Leagues,51,50,4292,36,17,0,0,14,1,0.75,0.36,1.11,0.75,1.11,,,,,,,,,Matches
suarez,2017-2018,30,Barcelona,4 Leagues,51,49,4443,31,13,1,1,14,0,0.63,0.26,0.89,0.61,0.87,22.8,22,9.5,0.71,0.3,1,0.68,0.98,Matches
suarez,2018-2019,31,Barcelona,4 Leagues,49,45,4129,25,11,5,5,10,0,0.54,0.24,0.78,0.44,0.68,26.3,23.2,9.8,0.63,0.24,0.87,0.56,0.8,Matches
suarez,2019-2020,32,Barcelona,3 Leagues,24,20,1788,14,11,1,1,5,0,0.7,0.55,1.26,0.65,1.21,12.5,11.9,4.1,0.66,0.22,0.88,0.63,0.85,Matches
aguero,2006-2007,18,Atl?tico Madrid,1 League,38,25,2484,6,2,0,0,4,0,0.22,0.07,0.29,0.22,0.29,,,,,,,,,
aguero,2007-2008,19,Atl?tico Madrid,1 League,37,35,2933,20,6,0,0,9,2,0.61,0.18,0.8,0.61,0.8,,,,,,,,,
aguero,2008-2009,20,Atl?tico Madrid,2 Leagues,45,40,3347,20,10,0,0,4,0,0.54,0.27,0.81,0.54,0.81,,,,,,,,,
