team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,
real,Karim Benzema\Karim-Benzema,fr FRA,FW,31,43,40,3556,22,10,3,3,0,0,0.56,0.25,0.81,0.48,0.73,20.1,17.8,10,0.54,0.27,0.8,0.48,0.74,Matches
real,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,27,39,39,3495,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,Matches
real,Dani Carvajal\Dani-Carvajal,es ESP,DF,27,39,39,3495,1,7,0,0,12,0,0.03,0.18,0.21,0.03,0.21,2.5,2.5,5.7,0.07,0.17,0.24,0.07,0.24,Matches
real,Raphaël Varane\Raphael-Varane,fr FRA,DF,26,39,39,3482,4,1,0,0,3,0,0.1,0.03,0.13,0.1,0.13,1.4,1.4,0.4,0.04,0.01,0.05,0.04,0.05,Matches
real,Toni Kroos\Toni-Kroos,de GER,MF,29,40,37,3180,6,8,0,0,3,0,0.17,0.23,0.4,0.17,0.4,3.5,3.5,5.5,0.11,0.18,0.29,0.11,0.29,Matches
real,Federico Valverde\Federico-Valverde,uy URU,MF,21,39,28,2526,2,5,0,0,4,1,0.07,0.18,0.25,0.07,0.25,1.9,1.9,4,0.08,0.18,0.26,0.08,0.26,Matches
real,Luka Modrić\Luka-Modric,hr CRO,MF,33,36,24,2303,5,5,0,0,9,1,0.2,0.2,0.39,0.2,0.39,2.2,2.2,2.7,0.1,0.12,0.22,0.1,0.22,Matches
real,Ferland Mendy\Ferland-Mendy,fr FRA,DF,24,27,20,1958,0,3,0,0,8,1,0,0.14,0.14,0,0.14,0.6,0.6,2.2,0.03,0.11,0.14,0.03,0.14,Matches
real,Marcelo\Marcelo,br BRA,DF,31,23,21,1852,2,5,0,0,3,0,0.1,0.24,0.34,0.1,0.34,0.7,0.7,3.3,0.04,0.19,0.23,0.04,0.23,Matches
real,Vinicius Júnior\Vinicius-Junior,br BRA,FW,19,35,16,1688,5,3,0,0,6,0,0.27,0.16,0.43,0.27,0.43,4.8,4.8,3.5,0.31,0.22,0.53,0.31,0.53,Matches
real,Isco\Isco,es ESP,MFFW,27,26,18,1443,3,0,0,0,1,0,0.19,0,0.19,0.19,0.19,2.9,2.9,1.5,0.2,0.11,0.31,0.2,0.31,Matches
