Name,Season,Age,Club,Country,Comp,LgRank,90s,Cmp,Att,Cmpper,TotDist,PrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,Ast,xA,A-xA,KP,Final,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp??,Off,Out,Int,Blocks,Matches
Rafinha,2018-2019,25,Barcelona,es ESP,1. La Liga,1st,2.5,137,152,90.1,2282,354,1,1,100,117,128,91.4,19,23,82.6,0,0,0,2,11,2,0,10,146,6,5,0,32,2,3,1,0,0,0,133,7,12,128,16,3,0,2,137,0,0,3,0,Matches
Rafinha,2019-2020,26,Celta Vigo,es ESP,1. La Liga,17th,23.5,1138,1317,86.4,19331,4441,35,67,52.2,897,986,91,206,264,78,1,1.5,-0.5,20,93,28,1,109,1261,56,42,3,402,34,27,4,2,0,0,1004,165,148,1063,175,28,8,19,1138,4,13,17,29,Matches
Denis Suarez,2017-2018,23,Barcelona,es ESP,1. La Liga,1st,6.7,311,379,82.1,4647,1258,2,12,16.7,275,315,87.3,34,52,65.4,2,2.2,-0.2,14,14,13,1,35,355,24,4,1,54,7,22,19,1,0,1,332,10,37,48,324,4,1,1,311,2,3,11,10,Matches
Denis Suarez,2018-2019,24,Barcelona,es ESP,1. La Liga,1st,0.2,14,20,70,225,62,0,2,0,12,16,75,2,2,100,0,0.1,-0.1,1,0,2,1,2,17,3,0,0,6,0,1,1,0,0,0,16,3,1,0,17,0,2,0,14,0,0,1,2,Matches
Denis Suarez,2019-2020,25,Celta Vigo,es ESP,1. La Liga,17th,18.1,664,876,75.8,11383,3793,13,52,25,529,616,85.9,122,208,58.7,5,4.6,0.4,43,64,35,10,113,777,99,28,6,168,40,95,58,17,25,10,602,127,147,128,715,14,13,4,664,4,10,11,44,Matches
Aidoo,2019-2020,23,Celta Vigo,es ESP,1. La Liga,17th,27.8,1073,1223,87.7,23981,6712,6,23,26.1,688,752,91.5,379,448,84.6,1,1,0,2,61,2,0,64,1177,46,38,1,169,31,1,0,0,0,0,954,105,164,232,904,52,8,3,1073,0,14,6,18,Matches
Ruben Perez,2019-2020,30,Leganes,es ESP,1. La Liga,18th,24.4,895,1142,78.4,17933,5556,17,45,37.8,652,769,84.8,226,328,68.9,1,0.5,0.5,8,97,9,0,112,1097,45,38,2,214,34,7,0,0,0,0,667,196,279,56,981,71,2,2,895,9,21,11,30,Matches
Salva Sevilla,2019-2020,35,Mallorca,es ESP,1. La Liga,19th,28.5,1446,1745,82.9,25781,8606,44,66,66.7,1109,1214,91.4,293,465,63,3,3.6,-0.6,54,156,15,0,215,1427,318,156,2,280,80,128,113,40,36,6,1170,224,351,193,1477,49,10,9,1446,7,31,15,30,Matches
Iddrisu,2019-2020,23,Mallorca,es ESP,1. La Liga,19th,32.3,1046,1285,81.4,19955,5377,20,50,40,777,905,85.9,249,330,75.5,0,0.2,-0.2,6,99,6,1,104,1257,28,27,1,311,23,2,0,0,0,0,954,159,172,70,1084,72,1,8,1046,2,17,23,33,Matches
Marc Roca,2017-2018,20,Espanyol,es ESP,1. La Liga,11th,3,146,169,86.4,2914,798,2,3,66.7,108,120,90,36,46,78.3,0,0,0,2,16,0,0,12,163,6,4,0,28,9,1,2,0,0,0,133,11,25,123,37,8,0,1,146,1,5,3,0,Matches
Marc Roca,2018-2019,21,Espanyol,es ESP,1. La Liga,7th,34.6,1696,1937,87.6,34899,10283,14,27,51.9,1200,1340,89.6,482,570,84.6,2,2.8,-0.8,23,195,27,2,209,1865,72,67,8,290,63,5,2,0,0,0,1436,189,312,1475,344,91,2,4,1696,2,18,22,21,Matches
Marc Roca,2019-2020,22,Espanyol,es ESP,1. La Liga,20th,33.4,1389,1731,80.2,29813,9464,26,55,47.3,958,1094,87.6,405,582,69.6,1,2.4,-1.4,26,218,23,5,237,1653,78,59,6,232,90,57,16,7,6,1,1045,216,470,1287,307,103,1,10,1389,6,30,15,29,Matches
