Name,Season,Age,Club,Country,Comp,LgRank,90s,Cmp,Att,Cmpper,TotDist,PrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,Ast,xA,A-xA,KP,Final,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp??,Off,Out,Int,Blocks,Matches
Mikel Merino,2018-2019,22,Real Sociedad,es ESP,1. La Liga,9th,22.8,883,1113,79.3,16528,4836,18,37,48.6,677,802,84.4,188,274,68.6,3,1.8,1.2,15,111,21,7,124,1097,16,10,4,242,35,15,2,0,2,0,781,159,173,918,88,62,3,6,883,3,24,31,22,Matches
Mikel Merino,2019-2020,23,Real Sociedad,es ESP,1. La Liga,6th,34.9,1518,1973,76.9,27543,8983,37,77,48.1,1196,1451,82.4,285,445,64,1,2,-1,33,204,35,7,238,1938,35,27,1,488,47,34,1,0,0,1,1259,318,396,1566,160,95,5,17,1518,9,52,33,45,Matches
Martin Odegaard,2019-2020,20,Real Sociedad,es ESP,1. La Liga,6th,28.1,1308,1617,80.9,22526,6909,28,65,43.1,1056,1185,89.1,224,367,61,6,5.9,0.1,60,141,73,2,249,1433,184,89,10,292,48,117,80,33,21,8,1180,196,241,1416,145,30,12,6,1308,10,22,36,31,Matches
Yangel Herrera,2019-2020,21,Granada,es ESP,1. La Liga,7th,26.3,714,942,75.8,13566,4100,12,43,27.9,537,654,82.1,165,245,67.3,3,1.4,1.6,19,81,12,3,105,927,15,14,3,236,31,8,0,0,0,0,558,160,224,166,648,74,1,3,714,2,29,13,32,Matches
Yan Eteki,2019-2020,21,Granada,es ESP,1. La Liga,7th,16.7,338,427,79.2,6083,1473,14,28,50,254,299,84.9,70,100,70,0,0.1,-0.1,3,36,2,0,31,420,7,6,0,107,8,0,0,0,0,0,271,75,81,28,357,17,0,4,338,1,14,5,10,Matches
Nemanja Maksimovic,2017-2018,22,Valencia,es ESP,1. La Liga,4th,6.2,217,262,82.8,3791,893,1,1,100,184,210,87.6,32,51,62.7,0,0.4,-0.4,9,15,6,1,21,261,1,1,0,40,6,6,0,0,0,0,194,17,51,16,212,24,0,3,217,1,12,3,2,Matches
Nemanja Maksimovic,2018-2019,23,Getafe,es ESP,1. La Liga,5th,35.7,583,779,74.8,9775,2540,35,54,64.8,439,564,77.8,109,161,67.7,0,0.7,-0.7,13,54,10,0,73,740,39,16,1,157,20,4,0,0,0,0,428,141,210,65,531,116,0,5,583,5,23,10,16,Matches
Nemanja Maksimovic,2019-2020,24,Getafe,es ESP,1. La Liga,8th,32.2,534,730,73.2,8991,2048,45,68,66.2,377,503,75,112,159,70.4,0,0.9,-0.9,13,39,11,2,49,664,66,24,1,157,9,9,0,0,0,0,377,162,191,54,506,117,4,4,534,3,19,8,20,Matches
Mauro Arambarri,2017-2018,21,Getafe,es ESP,1. La Liga,8th,23.6,452,658,68.7,10622,2530,5,15,33.3,268,361,74.2,179,282,63.5,2,1,1,7,57,4,1,51,651,7,2,1,119,45,6,0,0,0,0,360,65,233,63,513,69,2,1,452,6,25,22,20,Matches
Mauro Arambarri,2018-2019,22,Getafe,es ESP,1. La Liga,5th,29.7,560,804,69.7,12668,3657,17,39,43.6,346,454,76.2,197,311,63.3,2,1.7,0.3,15,74,8,2,100,775,29,19,0,146,65,24,2,0,2,0,369,136,299,98,597,67,3,6,560,7,23,14,25,Matches
Mauro Arambarri,2019-2020,23,Getafe,es ESP,1. La Liga,8th,34.1,649,972,66.8,14047,3445,21,53,39.6,430,596,72.1,198,323,61.3,1,1.7,-0.7,13,93,20,5,95,926,46,26,1,202,78,45,15,3,3,0,420,192,360,98,704,111,2,5,649,6,36,6,32,Matches
Parejo,2017-2018,28,Valencia,es ESP,1. La Liga,4th,33.3,2003,2450,81.8,42781,15663,18,34,52.9,1407,1594,88.3,578,822,70.3,8,5.3,2.7,67,285,35,2,375,2150,300,132,5,487,142,169,156,0,0,0,1848,150,452,125,2246,51,9,5,2003,14,37,57,48,Matches
Parejo,2018-2019,29,Valencia,es ESP,1. La Liga,4th,34,1967,2407,81.7,41806,15604,15,50,30,1387,1548,89.6,565,809,69.8,7,7.2,-0.2,79,258,41,6,389,2082,325,157,4,327,149,188,166,14,20,8,1674,276,457,181,2135,69,1,5,1967,12,39,47,42,Matches
Parejo,2019-2020,30,Valencia,es ESP,1. La Liga,9th,33.6,1980,2398,82.6,43908,14576,28,61,45.9,1293,1430,90.4,659,907,72.7,3,4.1,-1.1,60,233,30,4,332,2075,323,179,2,363,181,161,140,38,62,10,1539,354,505,232,2080,57,4,13,1980,13,43,47,38,Matches
