Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2014-2015,18,Roma,2 Leagues,1,0,24,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Matches
2015-2016,19,Sassuolo,2 Leagues,20,14,1240,3,0,0,0,5,1,0.22,0,0.22,0.22,0.22,,,,,,,,,Matches
2016-2017,20,Sassuolo,3 Leagues,34,29,2384,8,7,1,1,7,1,0.3,0.26,0.57,0.26,0.53,,,,,,,,,Matches
2017-2018,21,Roma,3 Leagues,37,26,2117,3,3,0,0,2,1,0.13,0.13,0.26,0.13,0.26,3,3,5.7,0.15,0.28,0.43,0.15,0.43,Matches
2018-2019,22,Roma,3 Leagues,33,26,2338,4,6,0,0,8,0,0.15,0.23,0.38,0.15,0.38,5.8,5.8,7.4,0.24,0.3,0.54,0.24,0.54,Matches
2019-2020,23,Roma,3 Leagues,24,22,1876,3,10,1,1,7,1,0.14,0.48,0.62,0.1,0.58,3.5,3.5,7.2,0.19,0.38,0.57,0.19,0.57,Matches
