season,Age,Squad,Comp,MP,Starts,Min,goal,Ast,PK,PKatt,CrdY,CrdR,g9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2016-2017,17,Leverkusen,3 Leagues,28,16,1552,4,4,0,0,2,0,0.23,0.23,0.46,0.23,0.46,,,,,,,,,Matches
2017-2018,18,Leverkusen,2 Leagues,35,26,2474,4,8,0,0,4,0,0.15,0.29,0.44,0.15,0.44,4.1,4.1,3.9,0.17,0.17,0.34,0.17,0.34,Matches
2018-2019,19,Leverkusen,3 Leagues,42,40,3496,20,6,3,3,2,0,0.51,0.15,0.67,0.44,0.59,13.7,11.5,5.3,0.37,0.14,0.52,0.31,0.45,Matches
2019-2020,20,Leverkusen,4 Leagues,37,37,3181,14,8,3,3,3,0,0.4,0.23,0.62,0.31,0.54,11,8.7,7.3,0.35,0.23,0.58,0.28,0.51,Matches
