Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2016-2017,18,Fiorentina,3 Leagues,34,22,2003,4,2,0,0,5,4,0.18,0.09,0.27,0.18,0.27,,,,,,,,,Matches
2017-2018,19,Fiorentina,2 Leagues,38,37,3192,6,4,0,0,7,0,0.17,0.11,0.28,0.17,0.28,7.6,7.6,6.3,0.23,0.19,0.41,0.23,0.41,Matches
2018-2019,20,Fiorentina,2 Leagues,41,38,3380,12,5,0,0,4,0,0.32,0.13,0.45,0.32,0.45,8.8,8.8,5.7,0.26,0.17,0.43,0.26,0.43,Matches
2019-2020,21,Fiorentina,2 Leagues,26,25,2108,8,3,1,2,4,0,0.34,0.13,0.47,0.3,0.43,8.1,6.6,2.8,0.38,0.13,0.5,0.3,0.43,Matches
